region,device_RAM,device_storage,new_price_dollars,device_category,condition_category,months_used,tradein_value_dollars
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,34,41.8
South East and Delta,8,256,194.43,group6_transsion,fair,6,75.82770000000001
Lagos Mainland,3,64,111.36,group5_samsung_lowend,good,11,46.77120000000001
South South,4,64,190.0,group5_samsung_lowend,fair,39,24.7
Lagos Mainland,4,128,176.34,group6_transsion,fair,16,49.37520000000001
South East and Delta,4,64,110.18,group6_transsion,good,7,46.275600000000004
South East and Delta,4,128,155.93,group7_others,good,3,65.49060000000001
West,4,64,190.0,group5_samsung_lowend,good,34,41.8
South South,4,64,129.7,group6_transsion,good,14,38.910000000000004
South South,8,256,194.43,group6_transsion,good,6,81.66060000000002
Lagos Mainland,2,32,89.93,group7_others,fair,12,35.072700000000005
South East and Delta,4,64,269.0,group4_samsung_midrange,good,31,67.25
North,4,128,177.46,group7_others,good,25,39.041199999999996
Lagos Island,12,512,1919.99,group2_samsung_premium,good,13,710.3963
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
Lagos Mainland,4,128,185.98,group6_transsion,good,14,55.794000000000004
South South,4,64,102.56,group6_transsion,fair,50,10.255999999999998
Lagos Island,6,128,196.0,group5_samsung_lowend,good,34,43.12
Lagos Mainland,3,64,108.4,group6_transsion,good,37,16.26
South South,4,64,110.18,group6_transsion,good,7,46.275600000000004
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,34,41.8
Lagos Mainland,8,256,427.07,group7_others,good,6,179.3694
Lagos Mainland,12,256,1799.0,group2_samsung_premium,fair,13,611.66
South East and Delta,3,64,102.86,group6_transsion,good,7,43.20120000000001
Lagos Mainland,12,128,1199.0,group2_samsung_premium,fair,7,563.53
Lagos Island,6,128,196.0,group5_samsung_lowend,fair,34,39.19999999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,34,41.8
Lagos Island,2,32,95.21,group6_transsion,good,28,20.946199999999997
Lagos Mainland,12,256,1799.0,group2_samsung_premium,fair,13,611.66
West,12,256,1799.0,group2_samsung_premium,good,25,521.71
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,34,39.19999999999999
South East and Delta,4,128,160.62,group6_transsion,good,13,48.18600000000001
South South,12,256,1799.0,group2_samsung_premium,good,13,665.63
South East and Delta,12,256,1299.99,group2_samsung_premium,good,19,480.9963
Lagos Mainland,8,256,289.63,group6_transsion,fair,14,81.0964
South South,8,256,1049.99,group2_samsung_premium,good,25,304.49710000000005
FCT & Environs,2,32,89.23,group7_others,fair,32,17.845999999999997
South East and Delta,2,32,89.93,group6_transsion,good,23,26.979000000000006
South South,2,32,83.83,group6_transsion,good,23,25.149000000000004
Lagos Island,4,64,190.0,group5_samsung_lowend,good,34,41.8
South South,4,64,170.0,group7_others,excellent,42,30.60000000000001
Lagos Mainland,2,32,80.69,group6_transsion,good,22,24.207000000000004
South South,2,64,104.35,group6_transsion,fair,25,20.869999999999994
Lagos Mainland,6,128,336.0,group7_others,good,30,73.91999999999999
FCT & Environs,4,64,159.0,group5_samsung_lowend,good,31,34.98
South East and Delta,4,64,130.0,group5_samsung_lowend,good,19,39.00000000000001
South South,4,64,190.0,group5_samsung_lowend,good,34,41.8
West,3,64,116.0,group6_transsion,excellent,12,52.199999999999996
South South,4,128,173.65,group6_transsion,good,21,52.095000000000006
Lagos Island,4,64,190.0,group5_samsung_lowend,good,34,41.8
FCT & Environs,4,128,185.98,group6_transsion,fair,14,52.074400000000004
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
Lagos Island,3,64,116.88,group6_transsion,good,17,35.06400000000001
Lagos Island,3,64,116.88,group6_transsion,good,17,35.06400000000001
South South,6,128,196.0,group5_samsung_lowend,good,34,43.12
West,3,64,108.4,group6_transsion,good,37,16.26
FCT & Environs,3,32,97.25,group5_samsung_lowend,good,22,29.175000000000004
Lagos Mainland,8,128,799.0,group3_samsung_highend,good,32,231.71000000000004
FCT & Environs,6,128,145.0,group6_transsion,fair,35,28.999999999999993
Lagos Mainland,6,128,421.74,group4_samsung_midrange,good,18,139.17419999999998
South East and Delta,8,256,240.0,group7_others,good,11,100.80000000000001
West,4,128,170.07,group7_others,good,17,51.02100000000001
South South,4,128,185.0,group5_samsung_lowend,good,6,77.7
South South,2,64,95.24,group6_transsion,good,5,40.0008
South East and Delta,6,128,162.48,group6_transsion,fair,28,32.49599999999999
South East and Delta,4,64,130.0,group5_samsung_lowend,good,19,39.00000000000001
South East and Delta,4,128,150.57,group6_transsion,good,29,33.12539999999999
South South,2,32,89.93,group6_transsion,good,23,26.979000000000006
South South,4,128,173.65,group6_transsion,good,21,52.095000000000006
South East and Delta,6,128,196.0,group5_samsung_lowend,good,34,43.12
Lagos Mainland,6,128,162.48,group6_transsion,good,28,35.745599999999996
South South,8,256,263.06,group6_transsion,fair,12,102.5934
South South,4,128,185.98,group6_transsion,good,14,55.794000000000004
South East and Delta,4,64,73.57,group7_others,good,13,22.071
South South,8,128,799.0,group3_samsung_highend,fair,19,271.65999999999997
Lagos Mainland,4,64,159.0,group5_samsung_lowend,fair,31,31.799999999999994
South South,3,32,111.36,group5_samsung_lowend,good,11,46.77120000000001
South South,6,128,110.0,group7_others,fair,31,21.999999999999996
South South,4,128,226.0,group4_samsung_midrange,good,4,106.22
South South,6,128,162.23,group6_transsion,good,42,24.334500000000002
FCT & Environs,8,256,546.0,group3_samsung_highend,fair,30,141.96
South South,2,32,76.28,group7_others,fair,9,29.749200000000002
FCT & Environs,6,128,196.0,group5_samsung_lowend,fair,34,39.19999999999999
South East and Delta,2,64,83.74,group7_others,good,11,35.1708
Lagos Mainland,16,256,1379.0,group2_samsung_premium,good,32,399.91
FCT & Environs,4,64,130.0,group5_samsung_lowend,fair,19,36.400000000000006
South South,4,64,139.38,group7_others,good,18,41.81400000000001
South South,2,64,95.27,group6_transsion,good,7,40.013400000000004
Lagos Mainland,8,256,289.63,group6_transsion,good,14,86.88900000000001
Lagos Mainland,4,64,110.18,group6_transsion,good,8,46.275600000000004
South East and Delta,2,32,70.78,group7_others,good,6,29.727600000000002
Lagos Mainland,4,64,165.29,group6_transsion,good,21,49.587
West,12,512,1200.0,group2_samsung_premium,good,7,612.0
South East and Delta,3,64,108.4,group6_transsion,good,38,16.26
South South,8,256,262.19,group6_transsion,excellent,14,83.90079999999999
West,2,32,62.74,group6_transsion,good,16,18.822000000000003
South South,2,32,95.82,group6_transsion,good,50,11.498399999999998
Lagos Mainland,8,256,319.85,group6_transsion,fair,27,63.96999999999999
South South,6,128,145.71,group6_transsion,fair,27,29.141999999999996
FCT & Environs,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
FCT & Environs,6,128,110.0,group7_others,good,31,24.199999999999996
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,34,41.8
South East and Delta,4,64,110.18,group6_transsion,good,8,46.275600000000004
South East and Delta,3,64,108.4,group6_transsion,good,37,16.26
FCT & Environs,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
South South,2,64,106.63,group6_transsion,good,12,44.784600000000005
South South,2,32,78.55,group6_transsion,good,33,17.281
South East and Delta,6,128,155.54,group6_transsion,good,26,34.218799999999995
South East and Delta,2,64,95.27,group6_transsion,good,7,40.013400000000004
South East and Delta,4,128,129.77,group6_transsion,good,6,54.503400000000006
South East and Delta,4,128,174.85,group6_transsion,good,17,52.455000000000005
South East and Delta,4,64,123.66,group6_transsion,good,16,37.098000000000006
South East and Delta,2,32,97.71,group6_transsion,good,14,29.313000000000002
Lagos Mainland,2,32,83.83,group6_transsion,good,23,25.149000000000004
South East and Delta,3,64,116.88,group6_transsion,good,17,35.06400000000001
South South,3,64,116.88,group6_transsion,good,17,35.06400000000001
Lagos Mainland,8,256,194.43,group6_transsion,good,6,81.66060000000002
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
FCT & Environs,6,128,421.74,group4_samsung_midrange,fair,18,126.52200000000002
Lagos Mainland,4,64,123.66,group6_transsion,good,16,37.098000000000006
Lagos Mainland,8,128,187.33,group7_others,fair,29,37.465999999999994
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
South South,4,128,160.62,group6_transsion,good,14,48.18600000000001
West,3,32,108.27,group7_others,good,23,32.481
South East and Delta,1,32,63.3,group7_others,good,23,18.990000000000002
South East and Delta,8,256,270.38,group7_others,good,18,81.114
South South,4,64,147.11,group7_others,good,23,44.13300000000001
Lagos Mainland,2,32,93.13,group6_transsion,fair,37,12.1069
South East and Delta,6,128,179.62,group6_transsion,fair,14,50.293600000000005
Lagos Mainland,3,64,108.4,group6_transsion,good,37,16.26
Lagos Island,4,128,176.34,group6_transsion,good,17,52.90200000000001
FCT & Environs,4,128,176.34,group6_transsion,good,17,52.90200000000001
Lagos Mainland,8,256,534.14,group3_samsung_highend,fair,18,181.6076
South East and Delta,4,64,73.57,group7_others,good,13,22.071
South East and Delta,2,64,106.63,group6_transsion,good,12,44.784600000000005
Lagos Island,6,128,196.0,group5_samsung_lowend,fair,34,39.19999999999999
South South,4,64,129.7,group6_transsion,fair,14,36.316
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,34,39.19999999999999
South South,4,128,128.93,group6_transsion,good,24,38.67900000000001
South East and Delta,2,32,89.73,group7_others,excellent,34,23.329800000000002
South South,8,256,262.19,group6_transsion,good,14,78.65700000000001
South East and Delta,2,64,83.74,group7_others,good,11,35.1708
North,6,128,165.0,group7_others,good,13,49.50000000000001
FCT & Environs,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
North,4,128,200.0,group5_samsung_lowend,good,8,84.00000000000001
South South,4,64,139.38,group7_others,fair,18,39.0264
Lagos Island,3,64,108.4,group6_transsion,fair,38,14.092
Lagos Island,8,256,1059.0,group2_samsung_premium,good,13,391.83
South East and Delta,1,16,98.83,group7_others,good,20,29.649000000000004
North,4,64,190.0,group5_samsung_lowend,good,34,41.8
South East and Delta,6,128,179.62,group6_transsion,good,14,53.88600000000001
FCT & Environs,8,128,167.76,group7_others,good,15,50.328
West,6,128,220.4,group7_others,good,29,48.48799999999999
South South,4,128,129.77,group6_transsion,good,6,54.503400000000006
South South,1,32,56.36,group7_others,good,26,12.399199999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
South South,3,64,102.86,group6_transsion,excellent,7,46.28699999999999
South East and Delta,4,128,289.0,group4_samsung_midrange,good,19,95.36999999999999
Lagos Mainland,8,256,209.21,group6_transsion,fair,16,58.57880000000001
Lagos Mainland,6,128,395.18,group4_samsung_midrange,fair,18,118.55400000000002
Lagos Mainland,8,128,282.03,group7_others,good,19,84.60900000000001
South South,2,32,76.25,group7_others,good,7,32.025000000000006
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
South South,12,128,1199.0,group2_samsung_premium,good,7,611.49
Lagos Mainland,8,128,196.05,group6_transsion,good,22,58.81500000000001
South South,3,32,97.25,group5_samsung_lowend,good,22,29.175000000000004
FCT & Environs,8,256,262.19,group6_transsion,fair,15,73.4132
West,4,128,133.29,group7_others,fair,18,37.321200000000005
FCT & Environs,3,32,130.0,group5_samsung_lowend,good,22,39.00000000000001
South South,3,64,94.63,group6_transsion,fair,37,12.3019
Lagos Mainland,8,128,220.61,group6_transsion,good,17,66.183
South East and Delta,4,128,200.0,group5_samsung_lowend,good,6,84.00000000000001
South East and Delta,2,32,74.64,group6_transsion,good,39,11.196000000000002
South East and Delta,4,64,83.26,group7_others,good,25,18.3172
Lagos Mainland,4,128,189.0,group6_transsion,good,23,56.70000000000001
South South,4,64,174.9,group7_others,good,13,52.470000000000006
South East and Delta,4,64,151.74,group6_transsion,good,7,63.73080000000001
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,34,41.8
South South,8,256,999.99,group3_samsung_highend,good,7,509.99490000000003
West,4,128,160.62,group6_transsion,fair,14,44.973600000000005
South East and Delta,2,32,83.21,group6_transsion,good,16,24.963
South East and Delta,4,128,191.6,group5_samsung_lowend,good,19,57.480000000000004
South South,4,64,190.0,group5_samsung_lowend,good,34,41.8
Lagos Island,4,128,180.0,group6_transsion,good,23,54.00000000000001
South South,3,64,215.65,group7_others,good,9,90.57300000000001
South South,8,256,190.71,group6_transsion,good,5,80.0982
Lagos Mainland,4,64,174.9,group7_others,good,13,52.470000000000006
South East and Delta,4,128,173.65,group6_transsion,good,22,52.095000000000006
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,34,41.8
South East and Delta,2,32,87.34,group6_transsion,good,30,19.214799999999997
South East and Delta,4,64,137.71,group5_samsung_lowend,excellent,12,61.9695
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
Lagos Mainland,3,64,108.4,group6_transsion,good,38,16.26
FCT & Environs,4,64,139.38,group7_others,good,18,41.81400000000001
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,34,43.12
West,4,64,165.29,group6_transsion,good,22,49.587
South South,3,32,97.25,group5_samsung_lowend,good,23,29.175000000000004
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,34,37.99999999999999
Lagos Mainland,4,128,185.98,group6_transsion,good,15,55.794000000000004
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,34,43.12
South East and Delta,4,128,164.57,group7_others,good,18,49.371
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,34,39.19999999999999
Lagos Mainland,3,64,111.96,group6_transsion,good,42,16.794
Lagos Island,12,256,1799.0,group2_samsung_premium,good,13,665.63
South South,3,64,108.4,group6_transsion,fair,38,14.092
South East and Delta,6,128,205.97,group7_others,good,34,45.313399999999994
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
South South,3,64,102.86,group6_transsion,fair,8,40.1154
South East and Delta,2,32,80.69,group6_transsion,good,22,24.207000000000004
South East and Delta,2,32,37.63,group7_others,good,15,11.289000000000003
South East and Delta,2,32,95.82,group6_transsion,good,51,11.498399999999998
South East and Delta,8,256,534.14,group3_samsung_highend,good,19,197.6318
FCT & Environs,3,32,108.27,group7_others,good,23,32.481
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,35,43.12
South East and Delta,8,128,196.05,group6_transsion,good,23,58.81500000000001
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
FCT & Environs,6,128,110.0,group7_others,fair,31,21.999999999999996
South South,8,256,270.38,group7_others,good,18,81.114
South South,1,16,64.85,group6_transsion,good,26,14.266999999999998
Lagos Mainland,2,64,83.74,group7_others,good,12,35.1708
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,35,41.8
Lagos Mainland,3,64,111.36,group5_samsung_lowend,good,11,46.77120000000001
West,2,32,73.12,group6_transsion,good,39,10.968000000000002
North,12,256,1799.0,group2_samsung_premium,fair,13,611.66
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,35,43.12
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
South East and Delta,8,128,154.24,group6_transsion,fair,6,60.153600000000004
South East and Delta,4,64,215.0,group4_samsung_midrange,good,19,70.94999999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,35,41.8
FCT & Environs,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,35,43.12
West,8,256,262.19,group6_transsion,good,15,78.65700000000001
West,8,128,975.0,group3_samsung_highend,good,55,126.75
South South,6,128,196.0,group5_samsung_lowend,good,35,43.12
South East and Delta,3,64,116.88,group6_transsion,good,18,35.06400000000001
Lagos Mainland,2,32,89.0,group5_samsung_lowend,fair,43,11.57
South South,4,128,200.0,group5_samsung_lowend,good,6,84.00000000000001
Lagos Mainland,2,32,89.73,group7_others,good,35,19.740599999999997
South East and Delta,6,128,196.0,group5_samsung_lowend,good,35,43.12
South South,4,128,162.36,group7_others,good,20,48.70800000000001
South East and Delta,2,32,97.71,group6_transsion,good,14,29.313000000000002
South East and Delta,4,128,162.36,group7_others,good,20,48.70800000000001
Lagos Mainland,4,64,190.0,group5_samsung_lowend,good,35,41.8
South East and Delta,4,128,160.62,group6_transsion,good,14,48.18600000000001
Lagos Island,8,256,417.92,group7_others,good,13,125.37600000000002
FCT & Environs,3,32,149.0,group5_samsung_lowend,good,55,17.88
South South,12,256,660.31,group6_transsion,good,8,277.3302
West,8,256,245.0,group6_transsion,good,5,102.9
South East and Delta,3,64,131.76,group6_transsion,good,14,39.528000000000006
Lagos Mainland,4,128,186.89,group7_others,good,24,56.06700000000001
Lagos Mainland,4,64,119.58,group6_transsion,good,12,50.223600000000005
FCT & Environs,8,512,1099.0,group2_samsung_premium,good,2,560.49
West,3,64,116.88,group6_transsion,fair,18,32.726400000000005
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
FCT & Environs,4,128,262.0,group4_samsung_midrange,fair,42,41.92000000000001
Lagos Island,2,64,106.63,group6_transsion,good,12,44.784600000000005
FCT & Environs,4,64,190.0,group5_samsung_lowend,good,35,41.8
South South,8,256,245.0,group6_transsion,fair,5,95.55
Lagos Mainland,2,32,95.21,group6_transsion,excellent,29,24.7546
South South,6,128,162.48,group6_transsion,fair,28,32.49599999999999
Lagos Mainland,4,128,170.07,group7_others,good,18,51.02100000000001
South East and Delta,4,64,83.26,group7_others,good,26,18.3172
South South,2,32,97.71,group6_transsion,good,14,29.313000000000002
South East and Delta,8,128,196.05,group6_transsion,good,23,58.81500000000001
South East and Delta,2,32,96.52,group6_transsion,good,21,28.956000000000003
West,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South South,2,64,106.63,group6_transsion,good,12,44.784600000000005
South South,4,64,150.0,group5_samsung_lowend,excellent,12,67.5
Lagos Island,6,128,196.0,group5_samsung_lowend,good,35,43.12
South East and Delta,4,128,160.62,group6_transsion,good,14,48.18600000000001
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
Lagos Mainland,4,128,200.0,group5_samsung_lowend,fair,6,78.0
Lagos Island,6,128,196.0,group5_samsung_lowend,good,35,43.12
South East and Delta,4,128,119.83,group7_others,fair,3,46.7337
FCT & Environs,3,64,143.0,group7_others,good,56,17.16
Lagos Mainland,4,64,130.0,group5_samsung_lowend,good,19,39.00000000000001
FCT & Environs,2,32,89.93,group7_others,good,13,26.979000000000006
South South,3,32,199.99,group5_samsung_lowend,good,29,43.9978
South East and Delta,8,128,141.09,group6_transsion,good,7,59.25780000000001
South East and Delta,3,64,106.9,group6_transsion,good,8,44.898
Lagos Mainland,4,128,262.0,group4_samsung_midrange,good,42,47.16000000000001
South East and Delta,4,128,185.98,group6_transsion,good,15,55.794000000000004
South South,8,128,119.29,group6_transsion,good,6,50.101800000000004
South East and Delta,8,128,489.0,group3_samsung_highend,good,18,180.93
Lagos Mainland,4,64,130.0,group5_samsung_lowend,fair,23,36.400000000000006
Lagos Mainland,4,64,123.66,group6_transsion,good,16,37.098000000000006
Lagos Mainland,12,256,1001.48,group6_transsion,good,6,420.62160000000006
West,2,64,136.25,group6_transsion,fair,20,38.150000000000006
South East and Delta,8,128,141.09,group6_transsion,good,7,59.25780000000001
Lagos Island,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
Lagos Island,4,64,190.0,group5_samsung_lowend,good,35,41.8
South South,2,64,136.25,group6_transsion,good,20,40.87500000000001
South South,4,64,151.74,group6_transsion,excellent,7,68.283
FCT & Environs,2,32,77.86,group7_others,fair,20,21.800800000000002
FCT & Environs,4,64,150.0,group5_samsung_lowend,fair,12,58.5
FCT & Environs,4,64,190.0,group5_samsung_lowend,good,35,41.8
South East and Delta,4,128,162.36,group7_others,good,20,48.70800000000001
South South,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
West,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South East and Delta,3,32,108.27,group7_others,good,23,32.481
South East and Delta,8,128,220.61,group6_transsion,good,18,66.183
West,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South South,4,128,176.34,group6_transsion,good,17,52.90200000000001
South East and Delta,8,128,154.24,group6_transsion,good,7,64.78080000000001
Lagos Mainland,4,64,123.66,group6_transsion,good,16,37.098000000000006
West,4,128,164.57,group7_others,fair,19,46.0796
Lagos Mainland,2,32,100.95,group7_others,good,30,22.209
Lagos Mainland,1,16,98.83,group7_others,good,20,29.649000000000004
South East and Delta,4,128,200.0,group5_samsung_lowend,good,6,84.00000000000001
South East and Delta,4,64,155.25,group6_transsion,excellent,14,49.67999999999999
South South,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
South East and Delta,4,128,189.0,group6_transsion,good,23,56.70000000000001
Lagos Island,8,128,228.49,group6_transsion,good,22,68.54700000000001
FCT & Environs,4,128,379.0,group4_samsung_midrange,fair,55,37.89999999999999
South East and Delta,4,64,165.29,group6_transsion,good,22,49.587
FCT & Environs,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
Lagos Mainland,3,64,106.9,group6_transsion,good,8,44.898
FCT & Environs,4,128,119.83,group7_others,good,3,50.3286
West,4,64,73.57,group7_others,good,13,22.071
West,4,64,116.88,group6_transsion,fair,29,23.375999999999994
South South,1,16,64.85,group6_transsion,fair,27,12.969999999999995
FCT & Environs,2,64,95.24,group6_transsion,fair,6,37.1436
South South,4,64,150.0,group5_samsung_lowend,good,12,63.00000000000001
South East and Delta,4,64,190.0,group5_samsung_lowend,good,35,41.8
South East and Delta,8,128,237.02,group7_others,good,9,99.54840000000002
FCT & Environs,3,32,159.0,group5_samsung_lowend,good,26,34.98
South South,4,128,103.63,group7_others,good,26,22.798599999999997
Lagos Mainland,3,32,101.79,group5_samsung_lowend,fair,14,28.501200000000004
South East and Delta,2,64,106.63,group6_transsion,good,12,44.784600000000005
South South,4,128,129.77,group6_transsion,excellent,6,58.396499999999996
FCT & Environs,8,256,849.0,group3_samsung_highend,fair,33,220.74
FCT & Environs,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
South South,2,64,108.19,group6_transsion,good,29,23.801799999999997
FCT & Environs,3,32,179.0,group5_samsung_lowend,fair,34,35.79999999999999
South South,6,128,145.0,group6_transsion,excellent,36,37.7
FCT & Environs,4,64,131.0,group6_transsion,good,22,39.300000000000004
Lagos Mainland,8,128,138.44,group7_others,good,22,41.532000000000004
West,6,128,259.17,group7_others,fair,21,72.56760000000001
South East and Delta,6,128,599.0,group3_samsung_highend,good,39,113.80999999999997
South South,4,64,119.58,group6_transsion,good,33,26.307599999999997
West,4,128,165.23,group6_transsion,good,15,49.569
FCT & Environs,6,128,999.0,group1_apple,good,25,369.63
FCT & Environs,12,256,1827.96,group2_samsung_premium,fair,37,292.4736000000001
FCT & Environs,4,128,379.0,group4_samsung_midrange,fair,55,37.89999999999999
West,4,64,150.0,group5_samsung_lowend,good,12,63.00000000000001
South East and Delta,4,128,115.05,group7_others,good,0,48.321000000000005
South South,4,64,165.29,group6_transsion,excellent,22,52.89279999999999
Lagos Mainland,4,64,143.19,group6_transsion,good,23,42.95700000000001
Lagos Mainland,8,128,294.85,group6_transsion,good,38,44.22750000000001
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South East and Delta,4,64,130.0,group5_samsung_lowend,fair,19,36.400000000000006
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
South South,4,128,185.98,group6_transsion,good,15,55.794000000000004
Lagos Mainland,4,128,180.0,group6_transsion,good,24,54.00000000000001
FCT & Environs,2,32,200.0,group5_samsung_lowend,good,50,24.0
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South East and Delta,4,128,160.62,group6_transsion,good,14,48.18600000000001
FCT & Environs,8,128,196.05,group6_transsion,good,23,58.81500000000001
Lagos Mainland,3,64,108.4,group6_transsion,fair,38,14.092
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,35,43.12
South East and Delta,8,128,316.84,group7_others,fair,34,63.36799999999998
Lagos Island,4,64,190.0,group5_samsung_lowend,good,35,41.8
West,4,64,122.16,group6_transsion,good,18,36.648
Lagos Mainland,8,256,160.2,group6_transsion,good,5,67.284
South South,4,256,1149.0,group1_apple,fair,49,206.82000000000005
South East and Delta,4,64,190.0,group5_samsung_lowend,good,35,41.8
South East and Delta,6,128,196.0,group5_samsung_lowend,good,35,43.12
FCT & Environs,4,64,269.0,group4_samsung_midrange,good,32,67.25
South East and Delta,3,32,111.36,group5_samsung_lowend,good,12,46.77120000000001
Lagos Mainland,4,128,200.0,group5_samsung_lowend,good,7,84.00000000000001
South South,4,64,129.7,group6_transsion,good,15,38.910000000000004
South South,4,64,150.0,group5_samsung_lowend,good,12,63.00000000000001
Lagos Mainland,4,64,174.9,group7_others,good,13,52.470000000000006
South East and Delta,2,32,80.69,group6_transsion,fair,23,22.593200000000003
Lagos Island,4,128,160.0,group7_others,good,38,24.000000000000004
South South,4,64,102.82,group7_others,good,17,30.846000000000004
South East and Delta,4,128,173.65,group6_transsion,good,22,52.095000000000006
Lagos Mainland,4,128,157.25,group6_transsion,good,18,47.175000000000004
FCT & Environs,8,128,220.61,group6_transsion,good,18,66.183
South East and Delta,4,64,190.0,group5_samsung_lowend,good,35,41.8
South East and Delta,6,128,179.62,group6_transsion,good,15,53.88600000000001
FCT & Environs,6,128,196.0,group5_samsung_lowend,good,35,43.12
FCT & Environs,3,64,111.36,group5_samsung_lowend,good,12,46.77120000000001
FCT & Environs,6,128,196.0,group5_samsung_lowend,good,35,43.12
South South,2,64,136.25,group6_transsion,good,20,40.87500000000001
South South,8,256,534.14,group3_samsung_highend,good,19,197.6318
West,4,64,190.0,group5_samsung_lowend,good,35,41.8
South South,8,256,1059.0,group2_samsung_premium,good,14,391.83
South East and Delta,2,64,95.27,group6_transsion,good,8,40.013400000000004
West,6,128,458.54,group3_samsung_highend,fair,31,119.22040000000001
FCT & Environs,4,128,379.0,group4_samsung_midrange,good,55,45.48
FCT & Environs,2,32,89.93,group7_others,good,13,26.979000000000006
South East and Delta,6,128,169.9,group6_transsion,good,36,37.378
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South South,4,64,139.0,group5_samsung_lowend,good,28,30.579999999999995
Lagos Mainland,8,256,190.66,group7_others,good,1,80.0772
South East and Delta,8,256,282.37,group7_others,good,3,118.59540000000001
North,4,128,379.0,group4_samsung_midrange,fair,55,37.89999999999999
South East and Delta,2,32,89.93,group6_transsion,good,24,26.979000000000006
South East and Delta,6,128,196.0,group5_samsung_lowend,good,35,43.12
South East and Delta,8,256,510.1,group6_transsion,good,12,214.24200000000002
South East and Delta,4,64,143.78,group5_samsung_lowend,good,14,43.13400000000001
South South,4,128,173.65,group6_transsion,good,22,52.095000000000006
South South,4,128,160.62,group6_transsion,fair,14,44.973600000000005
FCT & Environs,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
Lagos Mainland,4,64,155.25,group6_transsion,fair,14,43.470000000000006
FCT & Environs,2,64,106.63,group6_transsion,fair,13,29.8564
South South,4,128,160.62,group6_transsion,good,14,48.18600000000001
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,35,39.19999999999999
South East and Delta,8,256,534.14,group3_samsung_highend,good,19,197.6318
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,35,37.99999999999999
